Unnamed: 0,Gender,EthnicGroup,ParentEduc,LunchType,TestPrep,ParentMaritalStatus,PracticeSport,IsFirstChild,NrSiblings,TransportMeans,WklyStudyHours,MathScore,ReadingScore,WritingScore,avg_total_score
545,female,group C,high school,free/reduced,none,single,never,no,1.0,school_bus,< 5,28,39,42,36.0
551,female,group C,bachelor's degree,free/reduced,none,single,regularly,no,3.0,school_bus,5 - 10,29,40,43,37.0
576,male,group C,high school,standard,none,married,regularly,yes,1.0,school_bus,5 - 10,49,46,42,46.0
588,female,group A,associate's degree,free/reduced,completed,single,never,no,3.0,school_bus,5 - 10,42,46,50,46.0
600,female,group B,high school,standard,none,divorced,sometimes,no,1.0,private,5 - 10,37,43,39,40.0
601,male,group C,some high school,free/reduced,completed,married,regularly,yes,2.0,private,< 5,40,34,37,37.0
616,female,group D,associate's degree,standard,none,divorced,sometimes,no,1.0,private,> 10,31,55,46,44.0
626,male,group C,high school,free/reduced,none,married,sometimes,no,1.0,private,5 - 10,39,46,40,42.0
650,female,group B,high school,free/reduced,none,married,sometimes,yes,0.0,school_bus,5 - 10,34,39,45,39.0
662,male,group A,some high school,free/reduced,none,married,sometimes,yes,3.0,school_bus,> 10,51,47,47,48.0
665,female,group C,some high school,free/reduced,none,single,regularly,no,7.0,school_bus,5 - 10,42,50,53,48.0
690,female,group A,associate's degree,free/reduced,none,single,sometimes,yes,1.0,private,5 - 10,28,34,34,32.0
748,female,group C,some high school,standard,none,married,never,yes,5.0,school_bus,5 - 10,47,53,45,48.0
763,male,group D,high school,free/reduced,none,married,sometimes,no,4.0,private,5 - 10,34,32,29,32.0
802,female,group D,some high school,free/reduced,completed,married,sometimes,yes,1.0,school_bus,< 5,37,45,41,41.0
818,male,group C,some high school,standard,none,single,sometimes,yes,2.0,school_bus,< 5,54,41,40,45.0
826,female,group A,high school,free/reduced,none,single,regularly,no,3.0,school_bus,5 - 10,27,41,43,37.0
877,female,group B,high school,free/reduced,none,widowed,regularly,yes,0.0,private,5 - 10,30,43,32,35.0
956,male,group E,high school,standard,none,widowed,regularly,no,2.0,school_bus,5 - 10,49,46,44,46.0
965,male,group B,high school,free/reduced,completed,married,regularly,no,1.0,school_bus,5 - 10,28,38,32,33.0
980,male,group C,some college,free/reduced,completed,divorced,sometimes,yes,3.0,school_bus,5 - 10,43,35,37,38.0
10,male,group D,some high school,free/reduced,completed,married,sometimes,yes,2.0,school_bus,> 10,45,42,46,44.0
15,female,group A,some high school,free/reduced,none,married,sometimes,yes,1.0,private,> 10,31,49,44,41.0
73,female,group C,some high school,free/reduced,none,divorced,never,no,2.0,school_bus,< 5,25,43,44,37.0
76,male,group C,some high school,free/reduced,none,married,never,yes,2.0,school_bus,5 - 10,29,34,26,30.0
77,female,group B,high school,free/reduced,none,married,regularly,yes,1.0,school_bus,5 - 10,40,44,45,43.0
114,male,group B,high school,free/reduced,none,married,regularly,no,4.0,private,< 5,46,36,37,40.0
125,female,group C,some college,standard,none,married,sometimes,yes,3.0,private,5 - 10,41,49,42,44.0
129,female,group D,some college,free/reduced,none,married,never,yes,2.0,school_bus,< 5,44,45,47,45.0
148,female,group C,associate's degree,free/reduced,none,married,never,yes,1.0,school_bus,> 10,31,46,42,40.0
151,male,group B,some college,free/reduced,none,married,sometimes,no,3.0,private,5 - 10,21,34,24,26.0
161,male,group B,high school,free/reduced,completed,married,sometimes,yes,0.0,school_bus,5 - 10,46,44,36,42.0
172,female,group A,some high school,standard,none,divorced,sometimes,yes,1.0,school_bus,> 10,33,46,38,39.0
181,male,group B,high school,free/reduced,none,single,sometimes,no,2.0,private,5 - 10,51,44,46,47.0
229,male,group A,high school,free/reduced,none,divorced,sometimes,yes,4.0,school_bus,> 10,54,43,43,47.0
238,male,group C,high school,standard,completed,single,never,yes,2.0,school_bus,< 5,41,43,39,41.0
239,male,group B,high school,standard,none,married,sometimes,yes,1.0,school_bus,< 5,41,48,40,43.0
240,male,group B,some high school,standard,completed,married,never,no,4.0,private,< 5,48,43,46,46.0
241,male,group C,high school,free/reduced,none,married,sometimes,no,3.0,private,5 - 10,48,48,46,47.0
250,male,group C,high school,standard,none,married,sometimes,yes,1.0,private,5 - 10,49,48,42,46.0
276,male,group A,bachelor's degree,standard,none,single,sometimes,no,5.0,school_bus,5 - 10,57,39,40,45.0
347,female,group C,associate's degree,free/reduced,none,divorced,never,yes,1.0,school_bus,< 5,37,45,41,41.0
378,male,group C,some high school,free/reduced,none,married,never,yes,1.0,school_bus,5 - 10,27,18,15,20.0
422,female,group C,some college,free/reduced,none,divorced,never,yes,5.0,private,5 - 10,28,41,40,36.0
426,female,group B,high school,free/reduced,none,married,regularly,no,1.0,school_bus,< 5,30,34,37,34.0
485,male,group C,associate's degree,standard,none,married,sometimes,no,3.0,school_bus,< 5,47,47,43,46.0
538,male,group C,some high school,standard,completed,single,never,yes,3.0,private,5 - 10,46,48,44,46.0
566,female,group A,some high school,free/reduced,completed,married,sometimes,yes,7.0,school_bus,< 5,26,44,45,38.0
567,female,group D,some college,free/reduced,none,married,sometimes,yes,7.0,school_bus,> 10,31,49,48,43.0
600,male,group B,high school,free/reduced,completed,single,sometimes,yes,3.0,private,> 10,47,49,43,46.0
623,female,group C,some high school,standard,none,married,regularly,no,2.0,school_bus,5 - 10,37,40,44,40.0
627,male,group C,some high school,free/reduced,completed,single,sometimes,yes,4.0,private,5 - 10,45,49,50,48.0
632,male,group C,some college,free/reduced,none,single,sometimes,no,5.0,private,< 5,45,42,44,44.0
659,female,group B,bachelor's degree,standard,none,married,sometimes,yes,1.0,private,5 - 10,34,53,51,46.0
674,female,group C,some college,standard,none,married,sometimes,yes,4.0,school_bus,< 5,32,49,47,43.0
675,male,group C,some high school,standard,completed,married,sometimes,yes,2.0,school_bus,< 5,50,46,44,47.0
701,male,group D,high school,free/reduced,none,married,sometimes,no,1.0,private,5 - 10,51,40,41,44.0
703,male,group D,some college,standard,none,single,regularly,no,1.0,school_bus,5 - 10,44,40,42,42.0
706,female,group B,some high school,free/reduced,completed,married,regularly,yes,1.0,school_bus,< 5,44,50,50,48.0
734,male,group C,high school,free/reduced,none,single,regularly,yes,3.0,school_bus,5 - 10,42,41,37,40.0
737,male,group C,master's degree,free/reduced,completed,married,sometimes,yes,3.0,school_bus,5 - 10,32,42,35,36.0
779,male,group C,some college,free/reduced,none,married,sometimes,no,2.0,private,< 5,39,42,32,38.0
810,male,group A,some college,free/reduced,none,married,sometimes,yes,3.0,private,5 - 10,32,38,33,34.0
850,female,group A,some college,free/reduced,none,married,sometimes,no,2.0,private,5 - 10,27,37,40,35.0
861,male,group B,some college,free/reduced,completed,married,sometimes,yes,0.0,private,5 - 10,42,47,44,44.0
875,male,group D,some high school,standard,none,married,never,yes,6.0,school_bus,< 5,37,39,31,36.0
878,male,group C,high school,standard,none,married,sometimes,yes,1.0,private,< 5,55,49,39,48.0
881,male,group C,some high school,free/reduced,none,married,regularly,yes,2.0,school_bus,5 - 10,46,41,36,41.0
907,male,group C,some high school,free/reduced,none,married,sometimes,yes,0.0,private,> 10,36,46,35,39.0
912,female,group D,some high school,free/reduced,none,single,regularly,yes,2.0,school_bus,< 5,40,49,47,45.0
913,male,group C,some college,standard,none,married,never,yes,1.0,school_bus,> 10,48,42,39,43.0
929,male,group A,high school,standard,none,married,sometimes,yes,3.0,school_bus,< 5,48,44,41,44.0
940,female,group A,some college,standard,none,married,regularly,no,1.0,private,< 5,35,43,40,39.0
941,male,group B,associate's degree,standard,none,married,regularly,yes,1.0,private,5 - 10,48,47,41,45.0
957,female,group C,some college,free/reduced,none,married,never,yes,3.0,private,5 - 10,38,48,47,44.0
964,male,group B,some college,free/reduced,none,married,sometimes,no,1.0,private,5 - 10,48,48,39,45.0
8,female,group C,some college,standard,none,married,sometimes,no,1.0,school_bus,> 10,38,46,46,43.0
22,female,group C,high school,free/reduced,completed,married,regularly,yes,1.0,private,5 - 10,27,45,45,39.0
56,male,group C,some college,standard,none,divorced,never,yes,5.0,private,5 - 10,36,35,39,37.0
81,female,group C,some college,standard,completed,single,sometimes,yes,3.0,private,< 5,34,57,49,47.0
89,female,group C,some college,free/reduced,none,married,sometimes,yes,0.0,private,5 - 10,35,47,52,45.0
103,female,group E,some college,free/reduced,none,divorced,regularly,no,1.0,private,< 5,31,44,42,39.0
119,male,group B,some college,free/reduced,completed,married,regularly,yes,0.0,school_bus,< 5,46,36,41,41.0
180,male,group C,some high school,standard,none,married,sometimes,yes,2.0,school_bus,< 5,46,39,38,41.0
183,male,group B,bachelor's degree,free/reduced,none,married,regularly,yes,4.0,school_bus,< 5,35,32,33,33.0
195,female,group C,some college,free/reduced,none,single,sometimes,yes,1.0,school_bus,5 - 10,36,45,48,43.0
196,male,group D,high school,free/reduced,none,divorced,sometimes,yes,1.0,private,5 - 10,46,41,46,44.0
217,female,group B,some college,free/reduced,none,married,regularly,yes,2.0,private,5 - 10,31,34,41,35.0
235,male,group B,some high school,free/reduced,none,married,regularly,no,2.0,private,5 - 10,48,50,44,47.0
276,male,group C,some college,free/reduced,completed,single,sometimes,yes,1.0,school_bus,5 - 10,16,30,27,24.0
307,male,group B,some college,free/reduced,none,single,regularly,yes,0.0,school_bus,< 5,30,25,29,28.0
330,male,group D,associate's degree,standard,none,divorced,sometimes,no,5.0,school_bus,5 - 10,50,33,40,41.0
353,male,group C,associate's degree,standard,none,married,regularly,yes,1.0,school_bus,5 - 10,46,43,42,44.0
425,male,group D,high school,free/reduced,none,single,never,yes,4.0,school_bus,< 5,36,32,27,32.0
428,male,group A,some college,free/reduced,none,single,never,no,4.0,school_bus,< 5,47,45,45,46.0
457,male,group C,associate's degree,free/reduced,completed,single,regularly,yes,1.0,private,5 - 10,39,36,36,37.0
466,male,group B,bachelor's degree,free/reduced,none,divorced,sometimes,yes,3.0,private,> 10,30,15,20,22.0
480,male,group C,some high school,free/reduced,none,divorced,sometimes,yes,0.0,school_bus,< 5,29,23,21,24.0
493,male,group C,some high school,standard,none,divorced,sometimes,yes,5.0,school_bus,5 - 10,51,50,44,48.0
551,female,group C,high school,standard,none,married,sometimes,yes,1.0,school_bus,5 - 10,21,37,38,32.0
554,male,group D,some high school,free/reduced,none,married,sometimes,no,1.0,private,< 5,32,31,28,30.0
580,female,group C,associate's degree,free/reduced,none,married,regularly,yes,1.0,private,5 - 10,36,46,50,44.0
587,male,group C,some high school,free/reduced,completed,divorced,sometimes,yes,2.0,school_bus,5 - 10,49,44,40,44.0
589,male,group D,high school,standard,none,married,sometimes,yes,3.0,private,< 5,48,39,37,41.0
616,male,group D,master's degree,free/reduced,none,married,regularly,yes,2.0,private,5 - 10,43,45,42,43.0
675,female,group C,high school,free/reduced,none,single,regularly,yes,1.0,school_bus,5 - 10,33,33,31,32.0
683,female,group B,some high school,standard,none,divorced,sometimes,yes,0.0,school_bus,< 5,36,54,53,48.0
720,female,group B,high school,standard,none,married,regularly,yes,5.0,private,> 10,41,40,43,41.0
722,male,group B,some high school,free/reduced,none,married,regularly,no,1.0,school_bus,< 5,31,40,24,32.0
743,male,group D,some high school,free/reduced,none,married,sometimes,yes,1.0,school_bus,< 5,39,39,36,38.0
761,female,group B,high school,free/reduced,none,single,regularly,no,2.0,school_bus,> 10,31,40,41,37.0
765,male,group A,some college,free/reduced,completed,divorced,sometimes,no,5.0,private,5 - 10,39,46,48,44.0
769,male,group D,some college,standard,completed,married,sometimes,no,1.0,private,5 - 10,48,42,44,45.0
785,female,group C,some college,free/reduced,none,divorced,sometimes,yes,4.0,school_bus,5 - 10,27,46,39,37.0
823,male,group A,high school,free/reduced,none,married,never,no,5.0,school_bus,< 5,41,42,40,41.0
876,female,group C,associate's degree,standard,none,married,regularly,yes,1.0,private,5 - 10,46,42,41,43.0
877,male,group C,some high school,free/reduced,none,divorced,never,yes,4.0,private,< 5,22,30,31,28.0
883,female,group C,some high school,standard,none,married,sometimes,yes,1.0,private,5 - 10,36,48,47,44.0
936,male,group B,high school,free/reduced,none,married,regularly,yes,3.0,school_bus,5 - 10,49,44,42,45.0
939,male,group C,bachelor's degree,free/reduced,none,married,sometimes,yes,3.0,private,< 5,42,43,36,40.0
941,male,group D,bachelor's degree,standard,none,single,regularly,yes,2.0,private,5 - 10,55,37,47,46.0
975,male,group D,associate's degree,standard,none,married,sometimes,yes,2.0,private,5 - 10,45,34,32,37.0
984,female,group C,high school,free/reduced,none,single,never,no,1.0,private,< 5,29,40,37,35.0
994,male,group B,some college,free/reduced,none,married,sometimes,yes,1.0,school_bus,5 - 10,47,55,42,48.0
996,female,group C,bachelor's degree,standard,completed,married,never,yes,1.0,private,5 - 10,44,41,44,43.0
4,male,group C,some high school,free/reduced,none,married,regularly,yes,1.0,private,< 5,35,44,30,36.0
12,male,group C,some high school,standard,none,married,regularly,no,6.0,private,< 5,49,46,38,44.0
24,male,group D,some high school,free/reduced,none,married,sometimes,yes,0.0,school_bus,> 10,46,32,38,39.0
45,female,group D,associate's degree,free/reduced,none,married,sometimes,no,2.0,school_bus,5 - 10,40,43,43,42.0
55,female,group B,some college,free/reduced,none,married,sometimes,yes,0.0,school_bus,5 - 10,32,51,53,45.0
59,female,group D,associate's degree,free/reduced,none,married,regularly,yes,0.0,school_bus,< 5,38,50,53,47.0
60,male,group C,some high school,free/reduced,completed,married,sometimes,yes,4.0,private,< 5,41,45,38,41.0
102,male,group C,some high school,free/reduced,none,married,never,yes,3.0,school_bus,5 - 10,41,42,34,39.0
103,female,group C,some high school,free/reduced,none,married,sometimes,no,3.0,private,5 - 10,38,51,54,48.0
127,female,group B,some high school,standard,none,married,sometimes,yes,3.0,school_bus,< 5,39,54,47,47.0
142,male,group B,high school,standard,completed,married,regularly,yes,0.0,private,5 - 10,40,38,34,37.0
147,male,group B,high school,free/reduced,none,single,sometimes,no,2.0,private,5 - 10,22,17,17,19.0
186,male,group B,some college,free/reduced,none,married,sometimes,yes,1.0,school_bus,> 10,37,30,29,32.0
